threshold,tp,tn,fp,fn,acc,sens,spec,mcc
0.75,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.76,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.77,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.78,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.79,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.8,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.81,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.8200000000000001,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.8300000000000001,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.84,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.85,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.86,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.87,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.88,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.89,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.9,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.91,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.92,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.93,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.9400000000000001,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.9500000000000001,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.96,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.97,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.98,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
0.99,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
1.0,0,20,0,17,0.5405405405405406,0.0,1.0,0.0
